,I,D,AI,H
Trung du MN phía Bắc,0.0,9699.999999999998,0.0,0.0
Đồng bằng sông Hồng,0.0,0.0,4700.000000000001,299.9999999999991
Bắc Trung Bộ & DH MT,0.0,1199.9999999999993,0.0,3800.000000000001
Tây Nguyên,0.0,12699.999999999998,0.0,7600.0
Đông Nam Bộ,0.0,0.0,5000.0,0.0
ĐBSCL,0.0,4699.999999999999,0.0,300.0000000000009
